asset,freq,h,period,model,measure,mcs_p,in_mcs
CL_WTI,1min,1,crisis,GARCH,TSRV,,True
CL_WTI,1min,1,crisis,GARCH,RV,,True
CL_WTI,1min,1,crisis,GARCH,JWTSRV,,True
CL_WTI,1min,1,crisis,GARCH,MedRV,,True
CL_WTI,1min,1,crisis,ARFIMA,TSRV,,True
CL_WTI,1min,1,crisis,ARFIMA,RV,,True
CL_WTI,1min,1,crisis,ARFIMA,JWTSRV,,True
CL_WTI,1min,1,crisis,ARFIMA,MedRV,,True
CL_WTI,1min,1,crisis,HAR,TSRV,,True
CL_WTI,1min,1,crisis,HAR,RV,,True
CL_WTI,1min,1,crisis,HAR,JWTSRV,,True
CL_WTI,1min,1,crisis,HAR,MedRV,,True
CL_WTI,1min,1,crisis,ANN,TSRV,,True
CL_WTI,1min,1,crisis,ANN,RV,,True
CL_WTI,1min,1,crisis,ANN,JWTSRV,,True
CL_WTI,1min,1,crisis,ANN,MedRV,,True
CL_WTI,1min,1,crisis,HAR-ANN,TSRV,,True
CL_WTI,1min,1,crisis,HAR-ANN,RV,,True
CL_WTI,1min,1,crisis,HAR-ANN,JWTSRV,,True
CL_WTI,1min,1,crisis,HAR-ANN,MedRV,,True
