asset,freq,h,period,measure,model,mcs_p,in_mcs
CL_WTI,5min,5,post,TSRV,GARCH,,True
CL_WTI,5min,5,post,TSRV,ARFIMA,,True
CL_WTI,5min,5,post,TSRV,HAR,,True
CL_WTI,5min,5,post,TSRV,ANN,,True
CL_WTI,5min,5,post,TSRV,HAR-ANN,,True
CL_WTI,5min,5,post,RV,GARCH,,True
CL_WTI,5min,5,post,RV,ARFIMA,,True
CL_WTI,5min,5,post,RV,HAR,,True
CL_WTI,5min,5,post,RV,ANN,,True
CL_WTI,5min,5,post,RV,HAR-ANN,,True
CL_WTI,5min,5,post,JWTSRV,GARCH,,True
CL_WTI,5min,5,post,JWTSRV,ARFIMA,,True
CL_WTI,5min,5,post,JWTSRV,HAR,,True
CL_WTI,5min,5,post,JWTSRV,ANN,,True
CL_WTI,5min,5,post,JWTSRV,HAR-ANN,,True
CL_WTI,5min,5,post,MedRV,GARCH,,True
CL_WTI,5min,5,post,MedRV,ARFIMA,,True
CL_WTI,5min,5,post,MedRV,HAR,,True
CL_WTI,5min,5,post,MedRV,ANN,,True
CL_WTI,5min,5,post,MedRV,HAR-ANN,,True
