asset,freq,h,period,RM1_dep,RM_pred,model,alpha,beta,p_alpha_eq_0,p_beta_eq_1,p_joint_alpha0_beta1,N
CL_WTI,1min,1,pre,TSRV,TSRV,GARCH,-5.661275116779356e-05,0.010450464805396515,0.05538458103833599,0.0,0.0,627
CL_WTI,1min,1,pre,TSRV,TSRV,ARFIMA,-5.136004546439824e-05,0.018110383510301403,0.09490675903539847,0.0,0.0,627
CL_WTI,1min,1,pre,TSRV,TSRV,HAR,-0.003731329486401087,1.7480115044567452,0.0,0.0,0.0,606
CL_WTI,1min,1,pre,TSRV,TSRV,ANN,0.00013291233840203136,0.001414743876645162,0.0,0.0,0.0,627
CL_WTI,1min,1,pre,TSRV,TSRV,HAR-ANN,0.00012780006232252902,0.0028869825246050427,0.0,0.0,0.0,606
CL_WTI,1min,1,crisis,TSRV,TSRV,GARCH,-0.0006162606009316782,0.03665681979776578,0.0004394119000981078,0.0,0.0,623
CL_WTI,1min,1,crisis,TSRV,TSRV,ARFIMA,-0.0012352709450491961,0.10689594809145064,2.1949424366951575e-07,0.0,0.0,623
CL_WTI,1min,1,crisis,TSRV,TSRV,HAR,-0.0038406432064221137,1.705397967199382,0.0,0.0,0.0,623
CL_WTI,1min,1,crisis,TSRV,TSRV,ANN,0.0004514038114792011,0.006078320687672959,0.00212235962080487,0.0,0.0,623
CL_WTI,1min,1,crisis,TSRV,TSRV,HAR-ANN,0.0003961924209870039,0.014964980322222734,0.007981185779116329,0.0,0.0,623
CL_WTI,1min,1,post,TSRV,TSRV,GARCH,-6.643285071936442e-05,0.011989029078834045,0.06975293754409395,0.0,0.0,625
CL_WTI,1min,1,post,TSRV,TSRV,ARFIMA,-0.00011574413228653777,0.02303096782425764,0.00012674547993696272,0.0,0.0,625
CL_WTI,1min,1,post,TSRV,TSRV,HAR,-0.003435042174188791,1.6037550822063777,0.0,0.0,0.0,624
CL_WTI,1min,1,post,TSRV,TSRV,ANN,0.00018435860997384717,0.0015417847665151318,0.0,0.0,0.0,625
CL_WTI,1min,1,post,TSRV,TSRV,HAR-ANN,0.0001795525746527775,0.0032400475809614276,0.0,0.0,0.0,624
CL_WTI,1min,1,pre,RV,RV,GARCH,-0.0003239454637355012,0.032987035196470706,0.00045780059142752627,0.0,0.0,627
CL_WTI,1min,1,pre,RV,RV,ARFIMA,-0.00038972735404047324,0.043083777199692266,1.1986942266783984e-05,0.0,0.0,627
CL_WTI,1min,1,pre,RV,RV,HAR,-0.005289333372113753,1.5060114296387348,0.0,8.804823536934236e-11,0.0,606
CL_WTI,1min,1,pre,RV,RV,ANN,0.00025940183410970137,0.00453709485303813,3.26405569239796e-14,0.0,0.0,627
CL_WTI,1min,1,pre,RV,RV,HAR-ANN,0.00023333370114928044,0.010138456481024098,2.3417321415308834e-09,0.0,0.0,606
CL_WTI,1min,1,crisis,RV,RV,GARCH,-0.0031448064586162465,0.16335733131975605,0.0001515324029830456,0.0,0.0,623
CL_WTI,1min,1,crisis,RV,RV,ARFIMA,-0.004051458664621433,0.21451220595418277,2.577363595546167e-05,0.0,0.0,623
CL_WTI,1min,1,crisis,RV,RV,HAR,-0.005894095975663234,1.519022202032623,0.0,4.023892330451417e-12,0.0,623
CL_WTI,1min,1,crisis,RV,RV,ANN,0.0019329941995915845,0.011724233814355361,0.004689825271670944,0.0,0.0,623
CL_WTI,1min,1,crisis,RV,RV,HAR-ANN,0.0013925711729576168,0.04934199508639159,0.04583415403806512,0.0,0.0,623
CL_WTI,1min,1,post,RV,RV,GARCH,-0.0003089616835409146,0.03471355157804448,0.0006745488555777168,0.0,0.0,625
CL_WTI,1min,1,post,RV,RV,ARFIMA,-0.00010582953472217904,0.027941807535946505,0.1082899953807892,0.0,0.0,625
CL_WTI,1min,1,post,RV,RV,HAR,-0.005143970436406705,1.4567287214739546,0.0,1.2310419350569646e-10,0.0,624
CL_WTI,1min,1,post,RV,RV,ANN,0.00040738394502771525,0.0039223034420781695,0.0,0.0,0.0,625
CL_WTI,1min,1,post,RV,RV,HAR-ANN,0.000386539865235809,0.008325822785912693,0.0,0.0,0.0,624
CL_WTI,1min,1,pre,JWTSRV,JWTSRV,GARCH,-0.000130129236151449,0.014263938141754567,4.440892098500626e-16,0.0,0.0,627
CL_WTI,1min,1,pre,JWTSRV,JWTSRV,ARFIMA,-0.0001553045804779648,0.026323591136154748,0.0,0.0,0.0,627
CL_WTI,1min,1,pre,JWTSRV,JWTSRV,HAR,-0.001264211064544483,1.2222333853995009,0.0,0.0,0.0,606
CL_WTI,1min,1,pre,JWTSRV,JWTSRV,ANN,0.0001312625185265064,0.0017873127408918675,0.0,0.0,0.0,627
CL_WTI,1min,1,pre,JWTSRV,JWTSRV,HAR-ANN,0.0001290738563394049,0.0037084287098713697,0.0,0.0,0.0,606
CL_WTI,1min,1,crisis,JWTSRV,JWTSRV,GARCH,-0.00136849807265293,0.07145886009751991,0.017372406963753084,0.0,0.0,623
CL_WTI,1min,1,crisis,JWTSRV,JWTSRV,ARFIMA,-0.0015783260926752482,0.1283530272103158,0.010498009824967403,0.0,0.0,623
CL_WTI,1min,1,crisis,JWTSRV,JWTSRV,HAR,-0.002208330145726291,1.6427084704307893,0.0,0.0,0.0,623
CL_WTI,1min,1,crisis,JWTSRV,JWTSRV,ANN,0.0008174671600052804,0.00626481264968973,0.07387282339474677,0.0,0.0,623
CL_WTI,1min,1,crisis,JWTSRV,JWTSRV,HAR-ANN,0.00041362184245405376,0.03601471408940837,0.3663225577662639,0.0,0.0,623
CL_WTI,1min,1,post,JWTSRV,JWTSRV,GARCH,-0.0001266309105846882,0.015632128893204703,2.351163264080469e-08,0.0,0.0,625
CL_WTI,1min,1,post,JWTSRV,JWTSRV,ARFIMA,-7.523537012986047e-05,0.020131000025412297,2.5648236556818915e-07,0.0,0.0,625
CL_WTI,1min,1,post,JWTSRV,JWTSRV,HAR,-0.0012572661385565416,1.2068613794914462,0.0,0.0,0.0,624
CL_WTI,1min,1,post,JWTSRV,JWTSRV,ANN,0.00020841862277646214,0.0016941330073054544,0.0,0.0,0.0,625
CL_WTI,1min,1,post,JWTSRV,JWTSRV,HAR-ANN,0.0002055571807742034,0.003509655427888155,0.0,0.0,0.0,624
CL_WTI,1min,1,pre,MedRV,MedRV,GARCH,-0.00013268781740728494,0.01492556261946637,4.884981308350689e-15,0.0,0.0,627
CL_WTI,1min,1,pre,MedRV,MedRV,ARFIMA,-0.0001756261190947154,0.02791935291769786,0.0,0.0,0.0,627
CL_WTI,1min,1,pre,MedRV,MedRV,HAR,-0.0013864581004893774,1.2114751240592194,0.0,0.0,0.0,606
CL_WTI,1min,1,pre,MedRV,MedRV,ANN,0.0001521000204510887,0.0010238508480257846,0.0,0.0,0.0,627
CL_WTI,1min,1,pre,MedRV,MedRV,HAR-ANN,0.0001503954868007622,0.002125363323371516,0.0,0.0,0.0,606
CL_WTI,1min,1,crisis,MedRV,MedRV,GARCH,-0.0013235006232302398,0.06954011312660217,0.012313280363555501,0.0,0.0,623
CL_WTI,1min,1,crisis,MedRV,MedRV,ARFIMA,-0.001615400459638144,0.12787566367769992,0.0060226066339825746,0.0,0.0,623
CL_WTI,1min,1,crisis,MedRV,MedRV,HAR,-0.002378308665187885,1.6457383519355442,0.0,0.0,0.0,623
CL_WTI,1min,1,crisis,MedRV,MedRV,ANN,0.0008129744838769881,0.0070535121386575885,0.053171461873004144,0.0,0.0,623
CL_WTI,1min,1,crisis,MedRV,MedRV,HAR-ANN,0.00042893075655821305,0.04062865898183286,0.3101608416923103,0.0,0.0,623
CL_WTI,1min,1,post,MedRV,MedRV,GARCH,-0.00012544400301385493,0.015685423697310658,1.6247199585706085e-08,0.0,0.0,625
CL_WTI,1min,1,post,MedRV,MedRV,ARFIMA,-7.627316770726868e-05,0.020253612681467872,9.566583281106489e-08,0.0,0.0,625
CL_WTI,1min,1,post,MedRV,MedRV,HAR,-0.0013694618562232778,1.191700854144383,0.0,0.0,0.0,624
CL_WTI,1min,1,post,MedRV,MedRV,ANN,0.0002102354083723684,0.0018781455303069764,0.0,0.0,0.0,625
CL_WTI,1min,1,post,MedRV,MedRV,HAR-ANN,0.00020576307292208447,0.00404324333624358,0.0,0.0,0.0,624
