asset,freq,h,period,measure,benchmark,spa_p
CL_WTI,5min,5,post,TSRV,GARCH,0.472
CL_WTI,5min,5,post,TSRV,ARFIMA,0.563
CL_WTI,5min,5,post,TSRV,HAR,0.491
CL_WTI,5min,5,post,TSRV,ANN,0.516
CL_WTI,5min,5,post,TSRV,HAR-ANN,0.511
CL_WTI,5min,5,post,RV,GARCH,0.499
CL_WTI,5min,5,post,RV,ARFIMA,0.492
CL_WTI,5min,5,post,RV,HAR,0.518
CL_WTI,5min,5,post,RV,ANN,0.486
CL_WTI,5min,5,post,RV,HAR-ANN,0.484
CL_WTI,5min,5,post,JWTSRV,GARCH,0.513
CL_WTI,5min,5,post,JWTSRV,ARFIMA,0.52
CL_WTI,5min,5,post,JWTSRV,HAR,0.495
CL_WTI,5min,5,post,JWTSRV,ANN,0.521
CL_WTI,5min,5,post,JWTSRV,HAR-ANN,0.481
CL_WTI,5min,5,post,MedRV,GARCH,0.507
CL_WTI,5min,5,post,MedRV,ARFIMA,0.504
CL_WTI,5min,5,post,MedRV,HAR,0.5
CL_WTI,5min,5,post,MedRV,ANN,0.47
CL_WTI,5min,5,post,MedRV,HAR-ANN,0.516
