asset,freq,h,period,measure,benchmark,spa_p
CL_WTI,5min,1,pre,TSRV,GARCH,0.498
CL_WTI,5min,1,pre,TSRV,ARFIMA,0.472
CL_WTI,5min,1,pre,TSRV,HAR,0.464
CL_WTI,5min,1,pre,TSRV,ANN,0.503
CL_WTI,5min,1,pre,TSRV,HAR-ANN,0.497
CL_WTI,5min,1,pre,RV,GARCH,0.553
CL_WTI,5min,1,pre,RV,ARFIMA,0.494
CL_WTI,5min,1,pre,RV,HAR,0.525
CL_WTI,5min,1,pre,RV,ANN,0.488
CL_WTI,5min,1,pre,RV,HAR-ANN,0.47
CL_WTI,5min,1,pre,JWTSRV,GARCH,0.504
CL_WTI,5min,1,pre,JWTSRV,ARFIMA,0.536
CL_WTI,5min,1,pre,JWTSRV,HAR,0.55
CL_WTI,5min,1,pre,JWTSRV,ANN,0.483
CL_WTI,5min,1,pre,JWTSRV,HAR-ANN,0.457
CL_WTI,5min,1,pre,MedRV,GARCH,0.525
CL_WTI,5min,1,pre,MedRV,ARFIMA,0.507
CL_WTI,5min,1,pre,MedRV,HAR,0.528
CL_WTI,5min,1,pre,MedRV,ANN,0.487
CL_WTI,5min,1,pre,MedRV,HAR-ANN,0.487
