asset,freq,h,period,model,measure,mcs_p,in_mcs
CL_WTI,5min,5,crisis,GARCH,TSRV,,True
CL_WTI,5min,5,crisis,GARCH,RV,,True
CL_WTI,5min,5,crisis,GARCH,JWTSRV,,True
CL_WTI,5min,5,crisis,GARCH,MedRV,,True
CL_WTI,5min,5,crisis,ARFIMA,TSRV,,True
CL_WTI,5min,5,crisis,ARFIMA,RV,,True
CL_WTI,5min,5,crisis,ARFIMA,JWTSRV,,True
CL_WTI,5min,5,crisis,ARFIMA,MedRV,,True
CL_WTI,5min,5,crisis,HAR,TSRV,,True
CL_WTI,5min,5,crisis,HAR,RV,,True
CL_WTI,5min,5,crisis,HAR,JWTSRV,,True
CL_WTI,5min,5,crisis,HAR,MedRV,,True
CL_WTI,5min,5,crisis,ANN,TSRV,,True
CL_WTI,5min,5,crisis,ANN,RV,,True
CL_WTI,5min,5,crisis,ANN,JWTSRV,,True
CL_WTI,5min,5,crisis,ANN,MedRV,,True
CL_WTI,5min,5,crisis,HAR-ANN,TSRV,,True
CL_WTI,5min,5,crisis,HAR-ANN,RV,,True
CL_WTI,5min,5,crisis,HAR-ANN,JWTSRV,,True
CL_WTI,5min,5,crisis,HAR-ANN,MedRV,,True
