asset,freq,h,period,model,measure,mcs_p,in_mcs
CL_WTI,5min,5,post,GARCH,TSRV,,True
CL_WTI,5min,5,post,GARCH,RV,,True
CL_WTI,5min,5,post,GARCH,JWTSRV,,True
CL_WTI,5min,5,post,GARCH,MedRV,,True
CL_WTI,5min,5,post,ARFIMA,TSRV,,True
CL_WTI,5min,5,post,ARFIMA,RV,,True
CL_WTI,5min,5,post,ARFIMA,JWTSRV,,True
CL_WTI,5min,5,post,ARFIMA,MedRV,,True
CL_WTI,5min,5,post,HAR,TSRV,,True
CL_WTI,5min,5,post,HAR,RV,,True
CL_WTI,5min,5,post,HAR,JWTSRV,,True
CL_WTI,5min,5,post,HAR,MedRV,,True
CL_WTI,5min,5,post,ANN,TSRV,,True
CL_WTI,5min,5,post,ANN,RV,,True
CL_WTI,5min,5,post,ANN,JWTSRV,,True
CL_WTI,5min,5,post,ANN,MedRV,,True
CL_WTI,5min,5,post,HAR-ANN,TSRV,,True
CL_WTI,5min,5,post,HAR-ANN,RV,,True
CL_WTI,5min,5,post,HAR-ANN,JWTSRV,,True
CL_WTI,5min,5,post,HAR-ANN,MedRV,,True
