asset,freq,h,period,model,measure,mcs_p,in_mcs
CL_WTI,5min,1,pre,GARCH,TSRV,,True
CL_WTI,5min,1,pre,GARCH,RV,,True
CL_WTI,5min,1,pre,GARCH,JWTSRV,,True
CL_WTI,5min,1,pre,GARCH,MedRV,,True
CL_WTI,5min,1,pre,ARFIMA,TSRV,,True
CL_WTI,5min,1,pre,ARFIMA,RV,,True
CL_WTI,5min,1,pre,ARFIMA,JWTSRV,,True
CL_WTI,5min,1,pre,ARFIMA,MedRV,,True
CL_WTI,5min,1,pre,HAR,TSRV,,True
CL_WTI,5min,1,pre,HAR,RV,,True
CL_WTI,5min,1,pre,HAR,JWTSRV,,True
CL_WTI,5min,1,pre,HAR,MedRV,,True
CL_WTI,5min,1,pre,ANN,TSRV,,True
CL_WTI,5min,1,pre,ANN,RV,,True
CL_WTI,5min,1,pre,ANN,JWTSRV,,True
CL_WTI,5min,1,pre,ANN,MedRV,,True
CL_WTI,5min,1,pre,HAR-ANN,TSRV,,True
CL_WTI,5min,1,pre,HAR-ANN,RV,,True
CL_WTI,5min,1,pre,HAR-ANN,JWTSRV,,True
CL_WTI,5min,1,pre,HAR-ANN,MedRV,,True
