asset,freq,h,period,RM1_dep,RM_pred,model,alpha,beta,p_alpha_eq_0,p_beta_eq_1,p_joint_alpha0_beta1,N
CL_WTI,5min,5,pre,TSRV,TSRV,GARCH,0.005127819573321905,0.3028578371590633,0.0,0.0,0.0,620
CL_WTI,5min,5,pre,TSRV,TSRV,ARFIMA,0.003701850826417636,0.7107388676275319,2.596353354533676e-09,3.9925841655019667e-07,9.132916645171463e-12,624
CL_WTI,5min,5,pre,TSRV,TSRV,HAR,-0.05318223249054011,24.229478558075776,0.0,0.0,0.0,603
CL_WTI,5min,5,pre,TSRV,TSRV,ANN,0.010821691494643664,0.004429485927867198,0.0,0.0,0.0,624
CL_WTI,5min,5,pre,TSRV,TSRV,HAR-ANN,0.010674030062418245,0.009816716203233206,0.0,0.0,0.0,603
CL_WTI,5min,5,crisis,TSRV,TSRV,GARCH,0.006905472491123264,0.3085681325754859,0.0,0.0,0.0,621
CL_WTI,5min,5,crisis,TSRV,TSRV,ARFIMA,0.000531039292700439,1.0748991504464165,0.5674260446983135,0.1524196196867722,0.0003164165424476284,621
CL_WTI,5min,5,crisis,TSRV,TSRV,HAR,-0.006417218462946594,8.003648758010112,6.00906795455991e-06,0.0,0.0,621
CL_WTI,5min,5,crisis,TSRV,TSRV,ANN,0.014057874388761358,0.02735932269079836,0.0,0.0,0.0,621
CL_WTI,5min,5,crisis,TSRV,TSRV,HAR-ANN,0.013842968071592065,0.05699181114752755,0.0,0.0,0.0,621
CL_WTI,5min,5,post,TSRV,TSRV,GARCH,0.005705222092253159,0.32143954128173047,7.416289804496046e-14,0.0,0.0,625
CL_WTI,5min,5,post,TSRV,TSRV,ARFIMA,0.0035977444407274766,0.7216274565388665,2.3106705437925257e-09,3.2176039610476437e-10,1.1248717513012707e-09,625
CL_WTI,5min,5,post,TSRV,TSRV,HAR,-0.051725928300328836,24.025203133769782,0.0,0.0,0.0,625
CL_WTI,5min,5,post,TSRV,TSRV,ANN,0.012853679378508027,0.002676865219674484,0.0,0.0,0.0,625
CL_WTI,5min,5,post,TSRV,TSRV,HAR-ANN,0.012840697822346269,0.005457189839514575,0.0,0.0,0.0,625
CL_WTI,5min,5,pre,RV,RV,GARCH,0.002555283316573611,0.7244627805079673,0.004206083476305356,3.390236980038708e-10,0.0,620
CL_WTI,5min,5,pre,RV,RV,ARFIMA,0.002748629720542458,0.8676682998789175,0.00068617200312171,0.005232738483314181,0.00029985710400592946,624
CL_WTI,5min,5,pre,RV,RV,HAR,-0.04027467828437978,14.959759709571376,0.0,0.0,0.0,603
CL_WTI,5min,5,pre,RV,RV,ANN,0.014669175655336774,0.021628375125328864,0.0,0.0,0.0,624
CL_WTI,5min,5,pre,RV,RV,HAR-ANN,0.014485046120449256,0.045258869485088574,0.0,0.0,0.0,603
CL_WTI,5min,5,crisis,RV,RV,GARCH,0.00679058673484105,0.7744828574452539,8.397600004239614e-05,2.3913602209546525e-09,8.828715314379565e-09,621
CL_WTI,5min,5,crisis,RV,RV,ARFIMA,0.002180976770826002,1.0259436586728077,0.2561454405874577,0.608163775830961,0.04140205473578673,621
CL_WTI,5min,5,crisis,RV,RV,HAR,0.017341358119025176,2.692461842877523,0.0,0.0,0.0,621
CL_WTI,5min,5,crisis,RV,RV,ANN,0.02618172974438947,0.049607209291209486,0.0,0.0,0.0,621
CL_WTI,5min,5,crisis,RV,RV,HAR-ANN,0.024106481518649636,0.12559117259900865,0.0,0.0,0.0,621
CL_WTI,5min,5,post,RV,RV,GARCH,0.003918828234142543,0.7417549568638773,0.0002394240812952919,1.2851048669659804e-08,0.0,625
CL_WTI,5min,5,post,RV,RV,ARFIMA,0.007920216229030238,0.6179030981364716,0.0,0.0,0.0,625
CL_WTI,5min,5,post,RV,RV,HAR,-0.04688792921601885,17.095721869805736,0.0,0.0,0.0,625
CL_WTI,5min,5,post,RV,RV,ANN,0.018604430756708458,0.017755022866263404,0.0,0.0,0.0,625
CL_WTI,5min,5,post,RV,RV,HAR-ANN,0.01849790081113054,0.03601023417660986,0.0,0.0,0.0,625
CL_WTI,5min,5,pre,JWTSRV,JWTSRV,GARCH,0.004039987791987255,0.3988420826319561,5.31574784190525e-13,0.0,0.0,620
CL_WTI,5min,5,pre,JWTSRV,JWTSRV,ARFIMA,0.003135454470264652,0.7639132360246317,8.315570454442422e-13,7.392175760401187e-11,5.272449143944868e-13,624
CL_WTI,5min,5,pre,JWTSRV,JWTSRV,HAR,-0.024467414049935833,24.60235772245477,0.0,0.0,0.0,603
CL_WTI,5min,5,pre,JWTSRV,JWTSRV,ANN,0.010733956119225348,0.013082451546917529,0.0,0.0,0.0,624
CL_WTI,5min,5,pre,JWTSRV,JWTSRV,HAR-ANN,0.010709635111568496,0.027079444642060267,0.0,0.0,0.0,603
CL_WTI,5min,5,crisis,JWTSRV,JWTSRV,GARCH,0.007197784051213656,0.3688178933465685,0.0,0.0,0.0,621
CL_WTI,5min,5,crisis,JWTSRV,JWTSRV,ARFIMA,0.0023544685602373983,0.9023463188643671,0.0061616457370949895,0.010173521559766918,0.020268893383779685,621
CL_WTI,5min,5,crisis,JWTSRV,JWTSRV,HAR,0.006860766671720099,6.593972449560809,0.0,0.0,0.0,621
CL_WTI,5min,5,crisis,JWTSRV,JWTSRV,ANN,0.014382455589071355,0.04459227696961443,0.0,0.0,0.0,621
CL_WTI,5min,5,crisis,JWTSRV,JWTSRV,HAR-ANN,0.014063402935976445,0.09317941859959852,0.0,0.0,0.0,621
CL_WTI,5min,5,post,JWTSRV,JWTSRV,GARCH,0.00570095081262179,0.3980278624050647,2.220446049250313e-16,0.0,0.0,625
CL_WTI,5min,5,post,JWTSRV,JWTSRV,ARFIMA,0.00582165955491421,0.5880285885603361,0.0,0.0,0.0,625
CL_WTI,5min,5,post,JWTSRV,JWTSRV,HAR,-0.021260356343367717,23.179205136024173,0.0,0.0,0.0,625
CL_WTI,5min,5,post,JWTSRV,JWTSRV,ANN,0.012836268253537286,0.01820078791649054,0.0,0.0,0.0,625
CL_WTI,5min,5,post,JWTSRV,JWTSRV,HAR-ANN,0.012795163199447485,0.036621271776637876,0.0,0.0,0.0,625
CL_WTI,5min,5,pre,MedRV,MedRV,GARCH,0.003377237061231258,0.4325706550688232,5.65434365995543e-11,0.0,0.0,620
CL_WTI,5min,5,pre,MedRV,MedRV,ARFIMA,0.0012278638515424581,0.9006482744237099,0.006884762191285532,0.007094193123166281,0.024531341456627276,624
CL_WTI,5min,5,pre,MedRV,MedRV,HAR,-0.026740251176981242,27.638277809116722,0.0,0.0,0.0,603
CL_WTI,5min,5,pre,MedRV,MedRV,ANN,0.011218574308662837,0.007976421666826869,0.0,0.0,0.0,624
CL_WTI,5min,5,pre,MedRV,MedRV,HAR-ANN,0.011207953457028848,0.016617911475662606,0.0,0.0,0.0,603
CL_WTI,5min,5,crisis,MedRV,MedRV,GARCH,0.005316365235056351,0.4805744390768523,3.718333490443371e-05,0.0,0.0,621
CL_WTI,5min,5,crisis,MedRV,MedRV,ARFIMA,0.006975270440740881,0.7304137589122359,6.311921733503922e-06,9.380963860827762e-06,1.0440851484716518e-05,621
CL_WTI,5min,5,crisis,MedRV,MedRV,HAR,0.0184976282795776,1.228116490748124,0.0,0.13767345618483207,0.0,621
CL_WTI,5min,5,crisis,MedRV,MedRV,ANN,0.018329996057278888,0.026618761149996884,0.0,0.0,0.0,621
CL_WTI,5min,5,crisis,MedRV,MedRV,HAR-ANN,0.017480355517992062,0.0668012702014133,0.0,0.0,0.0,621
CL_WTI,5min,5,post,MedRV,MedRV,GARCH,0.006023464488087889,0.38937012630763423,0.0,0.0,0.0,625
CL_WTI,5min,5,post,MedRV,MedRV,ARFIMA,0.003998055402801005,0.7089621092940687,2.220446049250313e-16,0.0,0.0,625
CL_WTI,5min,5,post,MedRV,MedRV,HAR,-0.019881944242484698,23.546149639400937,0.0,0.0,0.0,625
CL_WTI,5min,5,post,MedRV,MedRV,ANN,0.014119767707595432,0.0076612129074792685,0.0,0.0,0.0,625
CL_WTI,5min,5,post,MedRV,MedRV,HAR-ANN,0.014097713874358736,0.015499338825463036,0.0,0.0,0.0,625
