asset,freq,h,period,measure,benchmark,spa_p
CL_WTI,5min,10,crisis,TSRV,GARCH,0.493
CL_WTI,5min,10,crisis,TSRV,ARFIMA,0.523
CL_WTI,5min,10,crisis,TSRV,HAR,0.481
CL_WTI,5min,10,crisis,TSRV,ANN,0.517
CL_WTI,5min,10,crisis,TSRV,HAR-ANN,0.499
CL_WTI,5min,10,crisis,RV,GARCH,0.437
CL_WTI,5min,10,crisis,RV,ARFIMA,0.545
CL_WTI,5min,10,crisis,RV,HAR,0.467
CL_WTI,5min,10,crisis,RV,ANN,0.499
CL_WTI,5min,10,crisis,RV,HAR-ANN,0.54
CL_WTI,5min,10,crisis,JWTSRV,GARCH,0.438
CL_WTI,5min,10,crisis,JWTSRV,ARFIMA,0.545
CL_WTI,5min,10,crisis,JWTSRV,HAR,0.44
CL_WTI,5min,10,crisis,JWTSRV,ANN,0.467
CL_WTI,5min,10,crisis,JWTSRV,HAR-ANN,0.46
CL_WTI,5min,10,crisis,MedRV,GARCH,0.452
CL_WTI,5min,10,crisis,MedRV,ARFIMA,0.545
CL_WTI,5min,10,crisis,MedRV,HAR,0.507
CL_WTI,5min,10,crisis,MedRV,ANN,0.49
CL_WTI,5min,10,crisis,MedRV,HAR-ANN,0.527
