asset,freq,h,period,measure,benchmark,spa_p
CL_WTI,1min,1,post,TSRV,GARCH,0.458
CL_WTI,1min,1,post,TSRV,ARFIMA,0.519
CL_WTI,1min,1,post,TSRV,HAR,0.496
CL_WTI,1min,1,post,TSRV,ANN,0.502
CL_WTI,1min,1,post,TSRV,HAR-ANN,0.5
CL_WTI,1min,1,post,RV,GARCH,0.497
CL_WTI,1min,1,post,RV,ARFIMA,0.497
CL_WTI,1min,1,post,RV,HAR,0.476
CL_WTI,1min,1,post,RV,ANN,0.513
CL_WTI,1min,1,post,RV,HAR-ANN,0.509
CL_WTI,1min,1,post,JWTSRV,GARCH,0.506
CL_WTI,1min,1,post,JWTSRV,ARFIMA,0.519
CL_WTI,1min,1,post,JWTSRV,HAR,0.5
CL_WTI,1min,1,post,JWTSRV,ANN,0.515
CL_WTI,1min,1,post,JWTSRV,HAR-ANN,0.514
CL_WTI,1min,1,post,MedRV,GARCH,0.506
CL_WTI,1min,1,post,MedRV,ARFIMA,0.51
CL_WTI,1min,1,post,MedRV,HAR,0.46
CL_WTI,1min,1,post,MedRV,ANN,0.484
CL_WTI,1min,1,post,MedRV,HAR-ANN,0.514
