asset,freq,h,period,measure,benchmark,spa_p
CL_WTI,1min,5,pre,TSRV,GARCH,0.476
CL_WTI,1min,5,pre,TSRV,ARFIMA,0.519
CL_WTI,1min,5,pre,TSRV,HAR,0.484
CL_WTI,1min,5,pre,TSRV,ANN,0.477
CL_WTI,1min,5,pre,TSRV,HAR-ANN,0.473
CL_WTI,1min,5,pre,RV,GARCH,0.498
CL_WTI,1min,5,pre,RV,ARFIMA,0.505
CL_WTI,1min,5,pre,RV,HAR,0.509
CL_WTI,1min,5,pre,RV,ANN,0.527
CL_WTI,1min,5,pre,RV,HAR-ANN,0.511
CL_WTI,1min,5,pre,JWTSRV,GARCH,0.477
CL_WTI,1min,5,pre,JWTSRV,ARFIMA,0.512
CL_WTI,1min,5,pre,JWTSRV,HAR,0.47
CL_WTI,1min,5,pre,JWTSRV,ANN,0.507
CL_WTI,1min,5,pre,JWTSRV,HAR-ANN,0.491
CL_WTI,1min,5,pre,MedRV,GARCH,0.497
CL_WTI,1min,5,pre,MedRV,ARFIMA,0.542
CL_WTI,1min,5,pre,MedRV,HAR,0.5
CL_WTI,1min,5,pre,MedRV,ANN,0.513
CL_WTI,1min,5,pre,MedRV,HAR-ANN,0.51
