asset,freq,h,period,model,measure,mcs_p,in_mcs
CL_WTI,1min,10,pre,GARCH,TSRV,,True
CL_WTI,1min,10,pre,GARCH,RV,,True
CL_WTI,1min,10,pre,GARCH,JWTSRV,,True
CL_WTI,1min,10,pre,GARCH,MedRV,,True
CL_WTI,1min,10,pre,ARFIMA,TSRV,,True
CL_WTI,1min,10,pre,ARFIMA,RV,,True
CL_WTI,1min,10,pre,ARFIMA,JWTSRV,,True
CL_WTI,1min,10,pre,ARFIMA,MedRV,,True
CL_WTI,1min,10,pre,HAR,TSRV,,True
CL_WTI,1min,10,pre,HAR,RV,,True
CL_WTI,1min,10,pre,HAR,JWTSRV,,True
CL_WTI,1min,10,pre,HAR,MedRV,,True
CL_WTI,1min,10,pre,ANN,TSRV,,True
CL_WTI,1min,10,pre,ANN,RV,,True
CL_WTI,1min,10,pre,ANN,JWTSRV,,True
CL_WTI,1min,10,pre,ANN,MedRV,,True
CL_WTI,1min,10,pre,HAR-ANN,TSRV,,True
CL_WTI,1min,10,pre,HAR-ANN,RV,,True
CL_WTI,1min,10,pre,HAR-ANN,JWTSRV,,True
CL_WTI,1min,10,pre,HAR-ANN,MedRV,,True
