asset,freq,h,period,measure,benchmark,spa_p
CL_WTI,1min,10,crisis,TSRV,GARCH,0.434
CL_WTI,1min,10,crisis,TSRV,ARFIMA,0.536
CL_WTI,1min,10,crisis,TSRV,HAR,0.445
CL_WTI,1min,10,crisis,TSRV,ANN,0.511
CL_WTI,1min,10,crisis,TSRV,HAR-ANN,0.515
CL_WTI,1min,10,crisis,RV,GARCH,0.453
CL_WTI,1min,10,crisis,RV,ARFIMA,0.569
CL_WTI,1min,10,crisis,RV,HAR,0.456
CL_WTI,1min,10,crisis,RV,ANN,0.511
CL_WTI,1min,10,crisis,RV,HAR-ANN,0.574
CL_WTI,1min,10,crisis,JWTSRV,GARCH,0.457
CL_WTI,1min,10,crisis,JWTSRV,ARFIMA,0.541
CL_WTI,1min,10,crisis,JWTSRV,HAR,0.457
CL_WTI,1min,10,crisis,JWTSRV,ANN,0.46
CL_WTI,1min,10,crisis,JWTSRV,HAR-ANN,0.486
CL_WTI,1min,10,crisis,MedRV,GARCH,0.456
CL_WTI,1min,10,crisis,MedRV,ARFIMA,0.526
CL_WTI,1min,10,crisis,MedRV,HAR,0.473
CL_WTI,1min,10,crisis,MedRV,ANN,0.485
CL_WTI,1min,10,crisis,MedRV,HAR-ANN,0.484
