asset,freq,h,period,measure,benchmark,spa_p
CL_WTI,1min,10,post,TSRV,GARCH,0.491
CL_WTI,1min,10,post,TSRV,ARFIMA,0.512
CL_WTI,1min,10,post,TSRV,HAR,0.47
CL_WTI,1min,10,post,TSRV,ANN,0.512
CL_WTI,1min,10,post,TSRV,HAR-ANN,0.503
CL_WTI,1min,10,post,RV,GARCH,0.485
CL_WTI,1min,10,post,RV,ARFIMA,0.482
CL_WTI,1min,10,post,RV,HAR,0.532
CL_WTI,1min,10,post,RV,ANN,0.512
CL_WTI,1min,10,post,RV,HAR-ANN,0.523
CL_WTI,1min,10,post,JWTSRV,GARCH,0.468
CL_WTI,1min,10,post,JWTSRV,ARFIMA,0.498
CL_WTI,1min,10,post,JWTSRV,HAR,0.479
CL_WTI,1min,10,post,JWTSRV,ANN,0.496
CL_WTI,1min,10,post,JWTSRV,HAR-ANN,0.479
CL_WTI,1min,10,post,MedRV,GARCH,0.478
CL_WTI,1min,10,post,MedRV,ARFIMA,0.475
CL_WTI,1min,10,post,MedRV,HAR,0.521
CL_WTI,1min,10,post,MedRV,ANN,0.522
CL_WTI,1min,10,post,MedRV,HAR-ANN,0.496
