asset,freq,h,period,measure,benchmark,spa_p
CL_WTI,5min,5,pre,TSRV,GARCH,0.494
CL_WTI,5min,5,pre,TSRV,ARFIMA,0.509
CL_WTI,5min,5,pre,TSRV,HAR,0.494
CL_WTI,5min,5,pre,TSRV,ANN,0.528
CL_WTI,5min,5,pre,TSRV,HAR-ANN,0.487
CL_WTI,5min,5,pre,RV,GARCH,0.481
CL_WTI,5min,5,pre,RV,ARFIMA,0.498
CL_WTI,5min,5,pre,RV,HAR,0.484
CL_WTI,5min,5,pre,RV,ANN,0.502
CL_WTI,5min,5,pre,RV,HAR-ANN,0.489
CL_WTI,5min,5,pre,JWTSRV,GARCH,0.499
CL_WTI,5min,5,pre,JWTSRV,ARFIMA,0.524
CL_WTI,5min,5,pre,JWTSRV,HAR,0.454
CL_WTI,5min,5,pre,JWTSRV,ANN,0.486
CL_WTI,5min,5,pre,JWTSRV,HAR-ANN,0.473
CL_WTI,5min,5,pre,MedRV,GARCH,0.518
CL_WTI,5min,5,pre,MedRV,ARFIMA,0.513
CL_WTI,5min,5,pre,MedRV,HAR,0.501
CL_WTI,5min,5,pre,MedRV,ANN,0.473
CL_WTI,5min,5,pre,MedRV,HAR-ANN,0.505
