rm,freq,model,n,n_used_ratio,alpha_hat_ratio,beta_hat_ratio,R2_ratio_ols,wald_p_ratio_H0_beta1_alpha0,n_used_level,alpha_hat_level,beta_hat_level,R2_level_wls,wald_p_level_H0_alpha0_beta1
BV,5min,ANN,1870,1850,0.010879460139284418,0.2633804792523785,0.8582831613261577,2.017873177994557e-186,1850,0.010879460139284414,0.2633804792523786,0.15487823665876654,0.0
BV,5min,ARFIMA,1870,1870,0.003215960078416458,0.7915205718390204,0.05055566731808181,1.3634321642556582e-13,1870,0.003215960078416457,0.7915205718390204,0.36812740670917554,1.1685560189284756e-22
BV,5min,HAR,1870,1870,-0.019544872971920407,14.50056713103729,0.10992426108667464,0.0,1870,-0.01954487297192037,14.500567131037268,0.28181748976471466,0.0
JWTSRV,5min,ANN,1870,1860,0.011738744007888909,0.14004352274733148,0.9242399188082663,3.3396151317884033e-54,1860,0.011738744007888918,0.14004352274733095,0.051424234935616875,0.0
JWTSRV,5min,ARFIMA,1870,1870,0.002660796820424139,0.8172121768053655,0.0490248121999971,1.6473519409511462e-14,1870,0.002660796820424142,0.817212176805365,0.4439123909743632,4.464945946533761e-22
JWTSRV,5min,HAR,1870,1870,-0.022165154221970747,15.142037145349228,0.16551146769211722,0.0,1870,-0.022165154221970733,15.142037145349224,0.3512035556251043,0.0
MedRV,5min,ANN,1870,1870,0.011101588752725728,0.14663118394499283,0.6204232026106639,0.0,1870,0.011101588752725721,0.14663118394499325,0.06436778959103395,0.0
MedRV,5min,ARFIMA,1870,1870,-0.002573423368736535,1.1774787487640888,0.012043283170722452,3.126920076220504e-06,1870,-0.0025734233687365335,1.177478748764088,0.32632961084853795,1.1586023608493867e-05
MedRV,5min,HAR,1870,1870,-0.020373696929100994,15.14644256392567,0.08143810476915514,0.0,1870,-0.020373696929100966,15.146442563925657,0.20805733203536358,0.0
RK_1min,1min,ANN,1870,1826,0.013135565611261779,0.2455294600514044,0.9834029254551032,1.076384516018689e-22,1826,0.013135565611261776,0.2455294600514043,0.05850603041632263,0.0
RK_1min,1min,ARFIMA,1870,1870,0.002994391968916015,0.8863400322024275,0.017760192269026254,6.719138044746269e-16,1870,0.002994391968916008,0.8863400322024269,0.3386361077489246,3.0808278327917844e-12
RK_1min,1min,HAR,1870,1870,-0.026672070943948863,8.94008431247453,0.10003557959674936,0.0,1870,-0.026672070943948856,8.940084312474527,0.2624897765982446,0.0
RK_5min,5min,ANN,1870,1861,0.013065916350494255,0.31379958821238496,0.8288686256107725,2.805606776366267e-42,1861,0.013065916350494259,0.3137995882123849,0.17398797082960638,0.0
RK_5min,5min,ARFIMA,1870,1870,0.0013948198982758704,0.972810706058818,0.003241435829030803,2.259643279704641e-10,1870,0.0013948198982758713,0.9728107060588177,0.3441749991405325,8.152798215246642e-07
RK_5min,5min,HAR,1870,1870,-0.027895851509566697,8.804340208326229,0.10473757930338712,0.0,1870,-0.027895851509566673,8.804340208326218,0.2652046561453284,0.0
RV,5min,ANN,1870,1854,0.01757407168224604,0.130187243174906,0.9576821739585656,2.4896337890884018e-84,1854,0.01757407168224604,0.1301872431749062,0.01409719476621396,0.0
RV,5min,ARFIMA,1870,1870,0.0042815095849682025,0.8218496753960794,0.03671742771007025,5.072665898599802e-20,1870,0.0042815095849682025,0.8218496753960789,0.3071624364252087,2.878027917603661e-20
RV,5min,HAR,1870,1870,-0.02455548424465748,8.89156951966986,0.0847610653591141,0.0,1870,-0.024555484244657436,8.89156951966985,0.2420900853905701,0.0
TSRV,5min,ANN,1870,1864,0.009403339703504595,0.17019028349947252,0.6172283872896769,0.0,1864,0.009403339703504597,0.17019028349947266,0.0856015561594562,0.0
TSRV,5min,ARFIMA,1870,1870,-0.0004215129687593604,1.0784069114742492,0.0005416738494108397,5.340077457008055e-07,1870,-0.000421512968759362,1.0784069114742494,0.32824906679798305,1.8461963433156244e-06
TSRV,5min,HAR,1870,1870,-0.03202062404479551,12.369021859439798,0.1316257976884283,0.0,1870,-0.03202062404479555,12.369021859439815,0.23275964969060958,0.0
