rm,model,R2,n
BV,ANN,0.8582831613261577,1850
BV,ARFIMA,0.05055566731808181,1870
BV,HAR,0.10992426108667464,1870
JWTSRV,ANN,0.9242399188082663,1860
JWTSRV,ARFIMA,0.0490248121999971,1870
JWTSRV,HAR,0.16551146769211722,1870
MedRV,ANN,0.6204232026106639,1870
MedRV,ARFIMA,0.012043283170722452,1870
MedRV,HAR,0.08143810476915514,1870
RK_1min,ANN,0.9834029254551032,1826
RK_1min,ARFIMA,0.017760192269026254,1870
RK_1min,HAR,0.10003557959674936,1870
RK_5min,ANN,0.8288686256107725,1861
RK_5min,ARFIMA,0.003241435829030803,1870
RK_5min,HAR,0.10473757930338712,1870
RV,ANN,0.9576821739585656,1854
RV,ARFIMA,0.03671742771007025,1870
RV,HAR,0.0847610653591141,1870
TSRV,ANN,0.6172283872896769,1864
TSRV,ARFIMA,0.0005416738494108397,1870
TSRV,HAR,0.1316257976884283,1870
